Complaint No,Customer ID,Customer Name,Complaint Description,Complaint Type,Equipment Type,Priority Type,Complaint Date,Assigned Date,WIPDate Time,WIPAge,Close Date,Vendor Name,Resolution Type,Complaint Age,PORelease Date,PORelease Age,Material Delivery Date,MTDAge,Work Closer Date,Comment Date,Comments,WIP Vendor Enginner  log Date,WEAge
MAFIL_481944,3930,BURHANPUR,gps not working,GPS NOT WORKING,GPS,Class C,04/05/2023 16:28:41,,,,04/24/2023 16:10:54,Not Assigned,close,0,,,,,,04/24/2023 16:10:54,ACTIVE 12-04-23 Emp Code 370538,,
,,,,,,,,,,,,,,,,,,,,04/05/2023 16:28:41,gps not working,,
MAFIL_481945,3930,BURHANPUR,gps not working,GPS NOT WORKING,GPS,Class C,04/05/2023 16:29:44,,,,04/24/2023 16:11:33,Not Assigned,close,0,,,,,,04/05/2023 16:29:44,gps not working,,
,,,,,,,,,,,,,,,,,,,,04/24/2023 16:11:33,ACTIVE 12-04-23 Emp Code 370538,,
MAFIL_481946,2782,"VALMIKI CIRCLE,KALYANDURG",wireles panic switch not working,Wireless Panic Switch BH Not Working,Alarm Panel,Class B,04/05/2023 16:33:04,04/05/2023 16:40:59,,,04/05/2023 16:40:59,Enseigner Pvt Ltd,close,0,,,,,,04/05/2023 16:40:59,703482050437  bh 364703// battery replaced,,
MAFIL_481948,0092,KECHERY,"Engineering password not taking//need program

Renovation started 06/04/2023",Alarm Panel Not In network,Alarm Panel,Class A,04/05/2023 16:36:34,04/06/2023 12:21:12,,,04/28/2023 09:54:19,MX Electronics Pvt Ltd,close,20,,,,,,04/28/2023 09:49:02,"already enterd, ref: MAFIL_485982",,
,,,,,,,,,,,,,,,,,,,,04/28/2023 09:54:19,Alredy complaint enterd ref: MAFIL_485982,,
MAFIL_481949,1885,KATTANAM,Alarm Panel Not In network,Alarm Panel Not In network,Alarm Panel,Class A,04/05/2023 16:45:07,04/05/2023 16:48:19,,,04/27/2023 14:17:35,MX Electronics Pvt Ltd,close,21,,,,,,04/27/2023 14:17:35,Renovation completed branch/all device working/bh13935/984229474001,,
MAFIL_481950,0111,POONAMALLEE,alarm sound automatic on and heavy sound coming,Alarm Panel Not In network,Alarm Panel,Class A,04/05/2023 16:52:56,04/06/2023 12:24:21,,,04/07/2023 11:52:51,Zubaid Infotech,close,0,,,,,,04/07/2023 11:52:51,517132040707 Closed ABH 391679 // already working condition panel,,
MAFIL_481951,10001,HeadOffice,Offline F1 Touch Complaint,B,Workstation,Class A,04/05/2023 16:56:10,04/05/2023 16:57:05,,,04/05/2023 16:57:05,Aforeserve.com Ltd,close,0,,,,,,04/05/2023 16:57:05,517617050407 Closed Touch Cable reconnected | Now OK,,
MAFIL_481952,10001,HeadOffice,Mafil 2 Hang,B,Workstation,Class A,04/05/2023 16:58:37,04/05/2023 17:00:24,,,04/05/2023 17:00:24,Aforeserve.com Ltd,close,0,,,,,,04/05/2023 17:00:25,517617050408 Closed System restarted | Now OK,,
MAFIL_481955,3518,PILIBANGAN,safe room panic switch not working,Panic Switches Not Working,Alarm Panel,Class B,04/05/2023 17:04:17,04/06/2023 11:32:40,,,04/08/2023 12:56:34,Techsis Ltd,close,1,,,,,,04/05/2023 17:04:17,ok,,
,,,,,,,,,,,,,,,,,,,,04/08/2023 12:56:34,517132040815 Closed BH 360527 // lan cable reconnected,,
MAFIL_481956,2428,KABIR PARK,PIR Sensor Inside Safe room Not Working,PIR Sensor Inside Safe room Not Working,Alarm Panel,Class A,04/05/2023 17:07:20,04/07/2023 17:03:19,,,04/11/2023 15:33:42,Techsis Ltd,close,2,,,,,,04/11/2023 15:33:42,517132041117 Closed lan cable reconnected // BH 371763,,
MAFIL_481958,2209,SADASHIV NAGAR,password not working //Zone 05 disabled BH-301826,Wireless Panic Switch BH Not Working,Alarm Panel,Class B,04/05/2023 17:23:03,04/06/2023 11:52:32,,,04/18/2023 14:53:09,CHUBB SYSTEMS PRIVATE LIMITED,close,11,,,,,,04/18/2023 14:53:09,515916180415  Bh 361028 Battery replaced,,
MAFIL_481960,3485,KAVASSERY,passoord not working //Zone 05 disabled  ABH-23000,Wireless Panic Switches Not Working,Alarm Panel,Class B,04/05/2023 17:47:56,04/06/2023 11:31:32,,,04/08/2023 15:05:47,MX Electronics Pvt Ltd,close,1,,,,,,04/08/2023 15:05:47,516122080429  BH 23000 wireless panic switch one battery replaced.,,
MAFIL_481961,3144,AIROLI SECTOR 4,Outside & safe camera sd card not working,OutSide Camera SD Card Failure,CCTV,Class B,04/05/2023 18:17:29,04/06/2023 11:26:13,,,04/15/2023 17:02:14,CHUBB SYSTEMS PRIVATE LIMITED,close,8,,,,,,04/15/2023 17:02:14,812907041556  sd card replaced \\A bh 375622,,
MAFIL_481962,2270,HUDGE ROAD,"Automatic ringing, Zone3 disabled | BH342703",Panic Switches Not Working,Alarm Panel,Class B,04/05/2023 18:22:39,04/06/2023 11:53:14,,,04/11/2023 12:57:32,CHUBB SYSTEMS PRIVATE LIMITED,close,4,,,,,,04/11/2023 12:57:32,517617110403 CLOSED PANIC SWITCH REPLACED | BH 315509,,
MAFIL_481964,1120,INDRA PARK,PC Remote Hooter Not Working,Hooter Branch Inside Not Working,Alarm Panel,Class B,04/05/2023 18:42:54,04/06/2023 11:41:29,,,04/06/2023 15:40:30,Techsis Ltd,close,0,,,,,,04/06/2023 15:40:30,mafil -close MAFIL_394164,,
